Year,January,February,March,April,May,June,July,August,September,October,November,December
1983,,,,,29.6,22.5,20.8,51.9,15.9,17,0,2.3
1984,,0,,,104,5.4,4.5,,,,,
1985,35.7,10.9,0,68.9,12,77.3,30.2,8.5,51.5,28.2,0,0
1986,0,2,0,18.8,12,58.9,,4.3,,32.1,7.7,16.7
1987,8.9,35.3,13.4,19,18.3,18,66.4,28,17.8,16.3,0,0
1988,11.5,5.3,0,,3,53.2,125.7,82.7,64.3,0,0,0
1989,1.5,40.3,0,10.5,0,4,70.7,21,4,0,0,52.5
1990,24,4.5,12.5,5.2,0,0,3.5,37.2,120.5,40.3,0,0
1991,0,15,0,0,17,20.3,16.5,0,105.3,0,33.4,35
