Code,Station Name,Latitude UTM (m),Longitude UTM (m),Elevation (masl)
19135,SAN FRANCISCO DE BERLANGA,387050.94,2695152.47,1880
19100,SAN FRANCISCO LA CARRERA,432475.99,2731248.28,514
19160,SAN IGNACIO DE TEXAS,379306.65,2689125.86,1680
19136,SAN ISIDRO,466716.57,2760405.24,235
19181,SAN ISIDRO DE CIENEGA,347667.71,2788041.97,2190
19137,SAN JORGE,353484.31,2718997.36,1890
19050,SAN JOSE DE RAICES,374599.01,2717530.22,1870
19056,SAN JUAN,415582.58,2825379.41,260
5145,SAN JUAN DE LA VAQUERIA,276408.68,2795001.96,1840
19093,SAN JUANITO DE RESENDIZ,412877.8,2684203.52,2000
19107,SAN NICOLAS,403641.24,3045949.95,239
19057,SAN RAFAEL,343751.19,2768763.17,1887
19182,SAN ROBERTO,368166.54,2733463.96,522
19138,SANTA ANA,358939.14,2665134.33,1689
19038,SANTA CATARINA,354905.23,2838516.89,700
19059,SANTA ROSA,369242.99,2673926.43,1664
19193,SANTA ROSA I,413483.87,2732030.44,1600
19065,SANTIAGO,382683.12,2813444.53,497
19178,SIERRA MORENA,347240.49,2936031.86,500
19060,SOMBRERETILLO,406197.99,2913832.84,310
19140,TEPEHUAJE,422535.07,2821122.73,250
19061,TOPO CHICO,367325.55,2845125.41,550
19062,TUNEL DE SAN FRANCISCO,380980.83,2810505.97,720
19109,UNA DE GATO,431010.62,2872420.18,330
19063,VALLECILLO (DGE),401838.05,2948941.8,265
19077,VALLECILLO (SMN),401784.19,2949126.83,805
19064,VAQUERIAS,495939.81,2779158.64,145
19141,VILLALDAMA,358295.81,2931996.15,420
19162,VISTA HERMOSA,436438.49,2850458.35,199
