Model,Range,Sill,Nugget,RMSE
Exponential,143523.08831470905,56445.42410290093,0.0,10970.64485165306
Gaussian,86697.91911120358,51775.38659795386,0.0,8907.52654795251
Spherical,90601.94358586193,50857.9652861095,0.0,9670.32735699792
