Model,Range,Sill,Nugget,RMSE
Exponential,88550.1554117716,0.013654705244590871,0.0,0.002958111424767626
Gaussian,41417.05246699821,0.011843783583808594,0.0,0.003173126279116177
Spherical,68942.0502512611,0.012886082374135686,0.0,0.003026805952519801
